subject,block,trial,choices,choices_L,outcomes,opt_act,blocks,pe,choice_nll,alpha_rew,alpha_pun,beta,ev_l,ev_r,alpha_rew_sim,alpha_pun_sim,beta_sim,model
0,0,0,1,0.0,1.0,1.0,numberbar_mixed,1.0,0.5,0.5305797046833329,0.5028400224043265,2.3804108582232835,0.0,0.0,0.6850210477385634,0.20638200634737702,1.8381035474179679,sim_outcome
0,0,1,1,0.0,1.0,1.0,numberbar_mixed,0.46942029531666707,0.7795417117961383,0.5305797046833329,0.5028400224043265,2.3804108582232835,0.0,0.5305797046833329,0.6850210477385634,0.20638200634737702,1.8381035474179679,sim_outcome
0,0,2,1,0.0,1.0,1.0,numberbar_mixed,0.22035541365518696,0.8648153552158412,0.5305797046833329,0.5028400224043265,2.3804108582232835,0.0,0.779644586344813,0.6850210477385634,0.20638200634737702,1.8381035474179679,sim_outcome
0,0,3,0,1.0,-1.0,1.0,numberbar_mixed,-1.0,0.10581855629805643,0.5305797046833329,0.5028400224043265,2.3804108582232835,0.0,0.8965606966473558,0.6850210477385634,0.20638200634737702,1.8381035474179679,sim_outcome
0,0,4,0,1.0,-1.0,1.0,numberbar_mixed,-0.49715997759567354,0.03451792883995913,0.5305797046833329,0.5028400224043265,2.3804108582232835,-0.5028400224043265,0.8965606966473558,0.6850210477385634,0.20638200634737702,1.8381035474179679,sim_outcome
0,0,5,1,0.0,1.0,1.0,numberbar_mixed,0.10343930335264417,0.9806634487937861,0.5305797046833329,0.5028400224043265,2.3804108582232835,-0.7528319566770694,0.8965606966473558,0.6850210477385634,0.20638200634737702,1.8381035474179679,sim_outcome
0,0,6,0,1.0,-1.0,1.0,numberbar_mixed,-0.24716804332293063,0.01700869179310705,0.5305797046833329,0.5028400224043265,2.3804108582232835,-0.7528319566770694,0.9514434916728515,0.6850210477385634,0.20638200634737702,1.8381035474179679,sim_outcome
0,0,7,1,0.0,-1.0,1.0,numberbar_mixed,-1.9514434916728516,0.9872919167445767,0.5305797046833329,0.5028400224043265,2.3804108582232835,-0.8771179411192054,0.9514434916728515,0.6850210477385634,0.20638200634737702,1.8381035474179679,sim_outcome
0,0,8,1,0.0,1.0,1.0,numberbar_mixed,1.0298203974007023,0.8825617685228245,0.5305797046833329,0.5028400224043265,2.3804108582232835,-0.8771179411192054,-0.029820397400702303,0.6850210477385634,0.20638200634737702,1.8381035474179679,sim_outcome
0,0,9,1,0.0,1.0,1.0,numberbar_mixed,0.4834185950709651,0.9650269092607303,0.5305797046833329,0.5028400224043265,2.3804108582232835,-0.8771179411192054,0.5165814049290349,0.6850210477385634,0.20638200634737702,1.8381035474179679,sim_outcome
0,0,10,1,0.0,1.0,1.0,numberbar_mixed,0.22692649965978073,0.980699472273312,0.5305797046833329,0.5028400224043265,2.3804108582232835,-0.8771179411192054,0.7730735003402193,0.6850210477385634,0.20638200634737702,1.8381035474179679,sim_outcome
0,0,11,1,0.0,1.0,1.0,numberbar_mixed,0.10652390448547178,0.9854390109751556,0.5305797046833329,0.5028400224043265,2.3804108582232835,-0.8771179411192054,0.8934760955145282,0.6850210477385634,0.20638200634737702,1.8381035474179679,sim_outcome
0,0,12,1,0.0,-1.0,0.0,numberbar_mixed,-1.9499955172981454,0.9872485987793308,0.5305797046833329,0.5028400224043265,2.3804108582232835,-0.8771179411192054,0.9499955172981454,0.6850210477385634,0.20638200634737702,1.8381035474179679,sim_outcome
0,0,13,1,0.0,1.0,0.0,numberbar_mixed,1.0305402723083903,0.8823840436290799,0.5305797046833329,0.5028400224043265,2.3804108582232835,-0.8771179411192054,-0.03054027230839018,0.6850210477385634,0.20638200634737702,1.8381035474179679,sim_outcome
0,0,14,1,0.0,1.0,0.0,numberbar_mixed,0.483756518962723,0.9649997507018554,0.5305797046833329,0.5028400224043265,2.3804108582232835,-0.8771179411192054,0.516243481037277,0.6850210477385634,0.20638200634737702,1.8381035474179679,sim_outcome
0,0,15,1,0.0,-1.0,0.0,numberbar_mixed,-1.7729148720071557,0.9806923237450178,0.5305797046833329,0.5028400224043265,2.3804108582232835,-0.8771179411192054,0.7729148720071557,0.6850210477385634,0.20638200634737702,1.8381035474179679,sim_outcome
